time_s,temperature_C,pwm,heat_cool
0.121,23.28,0,1
0.255,23.28,0,1
0.389,23.28,0,1
0.523,23.27,0,1
0.657,23.25,0,1
0.791,23.25,0,1
0.925,23.25,0,1
1.06,23.25,0,1
1.195,23.25,0,1
1.33,23.25,0,1
1.465,23.25,0,1
1.6,23.26,0,1
1.735,23.25,0,1
1.871,23.25,0,1
2.006,23.25,0,1
2.141,23.25,0,1
2.276,23.25,0,1
2.411,23.26,0,1
2.546,23.25,0,1
2.682,23.25,0,1
2.817,23.25,0,1
2.952,23.25,0,1
3.087,23.25,0,1
3.222,23.25,0,1
3.357,23.26,0,0
3.492,23.26,0,0
3.626,23.25,0,0
3.76,23.26,0,0
3.894,23.26,0,0
4.028,23.26,0,0
4.162,23.26,0,0
4.296,23.25,0,0
4.431,23.26,0,0
4.565,23.25,0,0
4.699,23.26,0,0
4.833,23.26,0,0
4.967,23.26,0,0
5.101,23.26,0,0
5.235,23.25,0,0
5.37,23.26,0,0
5.504,23.25,0,0
5.638,23.25,0,0
5.772,23.25,0,0
5.906,23.26,0,0
6.04,23.26,0,0
6.174,23.25,0,0
6.309,23.25,0,0
6.443,23.25,0,0
6.577,23.25,0,0
6.711,23.25,0,0
6.845,23.23,0,0
6.979,23.21,42,0
7.115,23.22,230,0
7.251,23.22,255,0
7.387,23.22,239,0
7.523,23.19,254,0
7.659,23.16,255,0
7.795,23.13,255,0
7.932,23.08,255,0
8.068,23.01,255,0
8.204,22.94,255,0
8.34,22.85,255,0
8.476,22.77,255,0
8.613,22.68,255,0
8.749,22.59,255,0
8.885,22.49,255,0
9.021,22.39,255,0
9.157,22.29,255,0
9.294,22.19,255,0
9.43,22.08,255,0
9.566,21.97,255,0
9.702,21.86,255,0
9.838,21.76,255,0
9.975,21.65,255,0
10.111,21.53,255,0
10.248,21.42,255,0
10.385,21.31,255,0
10.522,21.19,255,0
10.66,21.08,255,0
10.797,20.97,255,0
10.934,20.85,255,0
11.071,20.74,255,0
11.209,20.62,255,0
11.346,20.51,255,0
11.483,20.39,255,0
11.62,20.28,255,0
11.758,20.16,255,0
11.895,20.05,255,0
12.032,19.93,255,0
12.169,19.82,255,0
12.307,19.71,255,0
12.444,19.6,255,0
12.581,19.49,255,0
12.718,19.37,255,0
12.856,19.26,255,0
12.993,19.15,255,0
13.13,19.04,255,0
13.267,18.93,255,0
13.404,18.82,255,0
13.542,18.71,255,0
13.679,18.6,255,0
13.816,18.49,255,0
13.953,18.38,255,0
14.091,18.27,255,0
14.228,18.16,255,0
14.365,18.05,255,0
14.502,17.95,255,0
14.639,17.84,255,0
14.777,17.73,255,0
14.914,17.63,255,0
15.051,17.52,255,0
15.188,17.42,255,0
15.325,17.32,255,0
15.463,17.21,255,0
15.6,17.11,255,0
15.737,17.01,255,0
15.874,16.91,255,0
16.012,16.8,255,0
16.149,16.71,255,0
16.286,16.61,255,0
16.423,16.51,255,0
16.56,16.41,255,0
16.698,16.32,255,0
16.835,16.22,255,0
16.972,16.12,255,0
17.109,16.02,255,0
17.246,15.93,255,0
17.384,15.84,255,0
17.521,15.74,255,0
17.658,15.64,255,0
17.795,15.55,255,0
17.933,15.46,255,0
18.07,15.37,255,0
18.207,15.27,255,0
18.344,15.18,255,0
18.481,15.09,255,0
18.619,15.0,255,0
18.756,14.91,255,0
18.893,14.82,255,0
19.03,14.73,255,0
19.168,14.64,255,0
19.305,14.55,255,0
19.442,14.47,255,0
19.579,14.38,255,0
19.716,14.29,255,0
19.854,14.21,255,0
19.991,14.12,255,0
20.128,14.04,255,0
20.266,13.95,255,0
20.403,13.87,255,0
20.54,13.78,255,0
20.677,13.7,255,0
20.815,13.62,255,0
20.952,13.54,255,0
21.089,13.45,255,1
21.228,13.26,255,1
21.366,13.18,255,1
21.504,13.14,255,1
21.642,13.15,255,1
21.781,13.21,255,1
21.919,13.3,255,1
22.057,13.42,255,1
22.196,13.58,255,1
22.334,13.76,255,1
22.472,13.95,255,1
22.611,14.17,255,1
22.749,14.41,255,1
22.887,14.64,255,1
23.025,14.9,255,1
23.164,15.15,255,1
23.302,15.42,255,1
23.44,15.71,255,1
23.579,16.0,255,1
23.717,16.5,255,1
23.855,16.81,255,1
23.994,17.13,255,1
24.132,17.44,255,1
24.27,17.75,255,1
24.408,18.09,255,1
24.547,18.43,255,1
24.685,18.75,255,1
24.823,19.08,255,1
24.962,19.41,255,1
25.1,19.73,255,1
25.238,20.06,255,1
25.377,20.39,255,1
25.515,20.72,255,1
25.653,21.05,255,1
25.791,21.38,255,1
25.93,21.71,255,1
26.068,22.05,255,1
26.206,22.38,255,1
26.345,22.71,255,1
26.483,23.04,255,1
26.621,23.37,255,1
26.76,23.7,255,1
26.898,24.03,255,1
27.036,24.36,255,1
27.174,24.69,255,1
27.313,25.03,255,1
27.452,25.36,255,1
27.59,25.69,255,1
27.729,26.02,255,1
27.868,26.34,255,1
28.007,26.66,255,1
28.145,26.99,255,1
28.284,27.31,255,1
28.423,27.62,255,1
28.562,27.94,255,1
28.701,28.25,255,1
28.84,28.57,255,1
28.978,28.87,253,1
29.117,29.18,232,1
29.256,29.48,218,1
29.395,29.79,204,1
29.534,30.09,196,1
29.673,30.39,182,1
29.812,30.67,175,1
29.95,30.95,165,1
30.089,31.22,165,1
30.228,31.49,165,1
30.367,31.74,165,1
30.506,31.98,165,1
30.645,32.22,165,1
30.784,32.45,165,1
30.922,32.67,165,1
31.061,32.89,165,1
31.2,33.1,166,1
31.339,33.31,165,1
31.478,33.51,165,1
31.617,33.72,165,1
31.756,33.9,165,1
31.895,34.1,165,1
32.034,34.29,165,1
32.173,34.47,165,1
32.311,34.65,165,1
32.45,34.83,165,1
32.589,35.01,165,1
32.728,35.19,165,1
32.867,35.36,165,1
33.006,35.53,165,1
33.145,35.69,165,1
33.284,35.86,165,1
33.423,36.02,165,1
33.562,36.18,165,1
33.701,36.35,139,1
33.84,36.5,122,1
33.979,36.65,114,1
34.118,36.8,108,1
34.257,36.94,93,1
34.395,37.08,88,1
34.533,37.22,88,1
34.671,37.32,87,1
34.809,37.45,88,1
34.947,37.55,87,1
35.085,37.65,87,1
35.223,37.74,87,1
35.361,37.83,85,1
35.499,37.91,51,1
35.637,37.99,21,1
35.774,38.06,0,1
35.911,38.12,0,1
36.048,38.17,0,1
36.185,38.21,0,1
36.322,38.23,0,1
36.459,38.25,0,1
36.596,38.25,0,1
36.733,38.25,0,1
36.87,38.24,0,1
37.007,38.22,0,1
37.144,38.2,0,1
37.281,38.17,0,1
37.418,38.14,0,1
37.555,38.1,0,1
37.692,38.06,0,1
37.828,38.02,0,1
37.965,37.97,0,1
38.102,37.91,0,1
38.239,37.86,0,1
38.376,37.81,0,1
38.513,37.75,0,1
38.65,37.69,0,1
38.787,37.63,0,1
38.924,37.57,0,1
39.061,37.5,0,1
39.198,37.44,0,1
39.334,37.37,0,1
39.471,37.31,0,1
39.608,37.24,0,1
39.745,37.17,0,1
39.882,37.11,0,1
40.019,37.04,0,1
40.156,36.97,0,1
40.293,36.9,0,1
40.43,36.83,0,1
40.566,36.77,0,1
40.703,36.69,0,1
40.84,36.63,0,1
40.977,36.56,0,1
41.114,36.49,0,1
41.251,36.42,0,1
41.388,36.35,0,1
41.525,36.28,0,1
41.661,36.21,23,1
41.799,36.15,33,1
41.937,36.08,33,1
42.075,36.02,33,1
42.213,35.95,33,1
42.351,35.9,34,1
42.489,35.84,33,1
42.627,35.8,33,1
42.765,35.75,33,1
42.903,35.71,33,1
43.041,35.68,33,1
43.179,35.64,33,1
43.316,35.6,48,1
43.454,35.58,83,1
43.592,35.55,127,1
43.731,35.52,158,1
43.87,35.49,176,1
44.009,35.49,178,1
44.148,35.5,178,1
44.287,35.54,184,1
44.426,35.6,187,1
44.565,35.67,187,1
44.704,35.74,187,1
44.843,35.82,187,1
44.982,35.92,187,1
45.121,36.02,187,1
45.26,36.13,187,1
45.399,36.25,187,1
45.538,36.38,187,1
45.677,36.51,187,1
45.816,36.64,187,1
45.955,36.78,187,1
46.094,36.93,187,1
46.233,37.08,187,1
46.372,37.23,187,1
46.511,37.38,187,1
46.65,37.54,187,1
46.789,37.7,186,1
46.928,37.86,187,1
47.067,38.03,187,1
47.206,38.2,187,1
47.345,38.36,187,1
47.484,38.53,187,1
47.623,38.7,187,1
47.762,38.87,187,1
47.901,39.05,187,1
48.04,39.22,187,1
48.179,39.39,187,1
48.318,39.57,187,1
48.457,39.74,187,1
48.596,39.91,187,1
48.735,40.09,187,1
48.874,40.27,187,1
49.013,40.44,187,1
49.152,40.62,187,1
49.291,40.79,187,1
49.43,40.96,187,1
49.569,41.14,187,1
49.708,41.31,187,1
49.847,41.49,187,1
49.986,41.66,187,1
50.126,41.84,187,1
50.265,42.01,187,1
50.404,42.18,187,1
50.543,42.36,187,1
50.682,42.53,187,1
50.821,42.7,187,1
50.96,42.87,187,1
51.099,43.04,187,1
51.238,43.21,187,0
51.376,43.37,187,0
51.515,43.53,187,0
51.653,43.67,187,0
51.791,43.77,187,0
51.929,43.84,187,0
52.067,43.89,187,0
52.205,43.91,187,0
52.343,43.91,187,0
52.481,43.89,187,0
52.619,43.85,187,0
52.757,43.81,187,0
52.895,43.75,187,0
53.034,43.68,187,0
53.172,43.6,187,0
53.31,43.51,187,0
53.448,43.41,187,0
53.586,43.3,187,0
53.724,43.19,186,0
53.862,43.08,187,0
54.0,42.96,187,0
54.138,42.84,186,0
54.276,42.7,187,0
54.414,42.56,187,0
54.552,42.42,187,0
54.69,42.28,186,0
54.828,42.13,186,0
54.966,41.98,187,0
55.105,41.84,187,0
55.243,41.69,186,0
55.381,41.54,187,0
55.519,41.38,187,0
55.657,41.24,187,0
55.795,41.09,187,0
55.933,40.93,187,0
56.071,40.78,187,0
56.209,40.63,187,0
56.347,40.47,187,0
56.485,40.33,187,0
56.623,40.19,187,0
56.761,40.04,187,0
56.899,39.88,187,0
57.037,39.73,187,0
57.175,39.58,187,0
57.313,39.42,187,0
57.451,39.27,187,0
57.589,39.12,187,0
57.727,38.96,187,0
57.865,38.81,187,0
58.003,38.65,187,0
58.141,38.5,187,0
58.279,38.36,187,0
58.417,38.2,187,0
58.555,38.05,187,0
58.693,37.91,187,0
58.831,37.76,187,0
58.969,37.62,187,0
59.107,37.47,187,0
59.245,37.32,187,0
59.383,37.18,187,0
59.521,37.04,187,0
59.659,36.89,187,0
59.797,36.76,187,0
59.935,36.61,187,0
60.073,36.48,187,0
60.21,36.33,187,0
60.348,36.19,187,0
60.486,36.06,187,0
60.624,35.92,187,0
60.762,35.78,187,0
60.9,35.64,187,0
61.038,35.51,187,0
61.176,35.38,187,0
61.314,35.25,187,0
61.452,35.11,187,0
61.59,34.99,187,0
61.728,34.85,187,0
61.865,34.73,187,0
62.003,34.59,187,0
62.141,34.47,187,0
62.279,34.35,187,0
62.417,34.22,187,0
62.555,34.09,187,0
62.693,33.97,187,0
62.831,33.85,187,0
62.969,33.73,187,0
63.106,33.61,187,0
63.244,33.49,187,0
63.382,33.37,187,0
63.52,33.24,182,0
63.658,33.13,185,0
63.796,33.02,208,0
63.934,32.9,175,0
64.071,32.78,201,0
64.209,32.67,254,0
64.347,32.56,254,0
64.485,32.44,254,0
64.623,32.33,254,0
64.761,32.21,254,0
64.899,32.08,254,0
65.036,31.96,254,0
65.174,31.81,254,0
65.312,31.57,254,0
65.45,31.41,254,0
65.588,31.3,254,0
65.726,31.16,255,0
65.863,31.04,254,0
66.001,30.9,255,0
66.139,30.77,255,0
66.277,30.65,254,0
66.415,30.52,254,0
66.553,30.38,254,0
66.69,30.25,254,0
66.828,30.12,254,0
66.966,30.0,254,0
67.104,29.87,254,0
67.242,29.74,255,0
67.379,29.61,254,0
67.517,29.48,254,0
67.655,29.36,255,0
67.793,29.23,254,0
67.931,29.1,255,0
68.068,28.97,254,0
68.206,28.84,254,0
68.344,28.72,255,0
68.482,28.6,254,0
68.62,28.47,254,0
68.757,28.35,254,0
68.895,28.22,254,0
69.033,28.1,254,0
69.171,27.98,255,0
69.309,27.86,255,0
69.446,27.74,255,0
69.584,27.62,255,0
69.722,27.5,254,0
69.86,27.38,254,0
69.998,27.27,254,0
70.135,27.15,254,0
70.273,27.03,254,0
70.411,26.91,255,0
70.549,26.79,255,0
70.686,26.68,254,0
70.824,26.56,255,0
70.962,26.45,254,0
71.1,26.33,254,0
71.238,26.22,254,0
71.375,26.11,254,0
71.513,25.99,254,0
71.651,25.88,255,0
71.789,25.77,254,0
71.926,25.66,254,0
72.064,25.55,254,0
72.202,25.43,254,0
72.34,25.32,255,0
72.477,25.21,255,0
72.615,25.1,255,0
72.753,24.99,254,0
72.89,24.88,254,0
73.027,24.77,254,0
73.165,24.66,254,0
73.302,24.55,254,0
73.439,24.45,254,0
73.576,24.35,254,0
73.714,24.24,255,0
73.851,24.13,254,0
73.988,24.02,254,0
74.125,23.92,254,0
74.263,23.81,254,0
74.4,23.71,254,0
74.537,23.61,254,0
74.674,23.51,254,0
74.812,23.41,255,0
74.949,23.31,254,0
75.086,23.21,254,0
75.223,23.1,254,0
75.361,23.0,254,0
75.498,22.9,254,0
75.635,22.8,254,0
75.773,22.7,255,0
75.91,22.61,254,0
76.047,22.51,254,0
76.184,22.41,254,0
76.322,22.31,255,0
76.459,22.21,254,0
76.596,22.11,254,0
76.733,22.02,254,0
76.871,21.92,255,0
77.008,21.82,254,0
77.145,21.72,254,0
77.282,21.63,254,0
77.42,21.53,254,0
77.557,21.44,255,0
77.694,21.34,254,0
77.831,21.25,255,0
77.969,21.15,255,0
78.106,21.06,255,0
78.243,20.96,254,0
78.38,20.87,254,0
78.518,20.78,254,0
78.655,20.67,254,0
78.792,20.59,255,0
78.929,20.5,254,0
79.067,20.4,254,0
79.204,20.3,254,0
79.341,20.22,254,0
79.478,20.12,254,0
79.616,20.03,254,0
79.753,19.95,254,0
79.89,19.85,254,0
80.027,19.77,255,0
80.165,19.68,254,0
80.302,19.59,254,0
80.439,19.5,254,0
80.576,19.41,254,0
80.713,19.32,254,0
80.851,19.22,254,0
80.988,19.14,254,0
81.125,19.06,254,0
81.262,18.97,254,0
81.4,18.88,255,0
81.537,18.79,254,0
81.674,18.7,255,0
81.811,18.62,254,0
81.949,18.53,255,0
82.086,18.44,254,0
82.223,18.36,254,0
82.36,18.26,254,0
82.497,18.18,254,0
82.635,18.1,254,0
82.772,18.01,254,0
82.909,17.93,255,0
83.046,17.85,255,0
83.184,17.76,254,0
83.321,17.68,255,0
83.458,17.59,255,0
83.595,17.51,255,0
83.733,17.43,254,0
83.87,17.34,254,0
84.007,17.26,255,0
84.144,17.18,254,0
84.281,17.1,254,0
84.419,17.01,255,0
84.556,16.93,254,0
84.693,16.85,254,0
84.83,16.77,255,0
84.968,16.69,254,0
85.105,16.6,254,0
85.242,16.53,255,0
85.379,16.44,254,0
85.516,16.36,254,0
85.654,16.28,255,0
85.791,16.2,255,0
85.928,16.12,254,0
86.065,16.04,254,0
86.203,15.96,255,0
86.34,15.88,254,0
86.477,15.8,254,0
86.614,15.72,255,0
86.751,15.69,255,0
86.889,15.65,254,0
87.026,15.57,255,0
87.163,15.5,255,0
87.3,15.42,254,0
87.437,15.34,255,0
87.575,15.26,255,0
87.712,15.18,255,0
87.849,15.11,255,0
87.986,15.03,254,0
88.124,14.95,254,0
88.261,14.88,255,0
88.398,14.8,255,0
88.535,14.73,254,0
88.673,14.65,255,0
88.81,14.57,255,0
88.947,14.5,254,0
89.084,14.42,255,0
89.221,14.35,255,0
89.359,14.28,255,0
89.496,14.2,255,0
89.633,14.13,255,0
89.771,14.06,255,0
89.908,13.99,255,0
90.045,13.91,255,0
90.182,13.84,255,0
90.32,13.77,255,0
90.457,13.69,255,0
90.594,13.62,255,0
90.732,13.54,254,0
90.869,13.47,255,0
91.006,13.4,255,0
91.143,13.33,255,0
91.281,13.26,255,0
91.418,13.19,255,0
91.555,13.12,255,0
91.692,13.05,255,0
91.83,12.98,255,0
91.967,12.91,255,0
92.104,12.83,255,0
92.242,12.77,255,0
92.379,12.7,255,0
92.516,12.62,254,0
92.653,12.55,254,0
92.791,12.48,255,0
92.928,12.42,255,0
93.065,12.35,255,0
